annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,prompt_variant
1056,528,gpt-4o-2024-08-06,tweet,"Every stupid MAGA in my mentions has the same stupid bio, ""Patriot, Christian, deplorable, 2A, blah, blah"" . At least be somewhat original, how about a hate omelette with a side of racist potatoes?",18,2026-03-16 17:15:20,20260316_1530,3,Partisan name-calling ('stupid MAGA') and emotion/exaggeration ('hate omelette with a side of racist potatoes').,2,Partisan name-calling ('stupid MAGA') but no support for undemocratic practices.,2,Partisan name-calling ('stupid MAGA') but no support for partisan violence.,1,No support for undemocratic candidates.,3,Name-calling ('stupid MAGA') and emotion/exaggeration ('hate omelette with a side of racist potatoes').,3,Name-calling ('stupid MAGA') and emotion/exaggeration ('hate omelette with a side of racist potatoes').,2,Terms that increase distrust ('stupid MAGA') but no events that damage communities.,2,Emotion/exaggeration ('hate omelette with a side of racist potatoes') but no factual claims.,B
1057,529,gpt-4o-2024-08-06,quote,Donald Trump did not do a news conference. He dithered and doddered his way through softball questions and he still came off like an escapee from an Alzheimer’s residence! He should resign his candidacy immediately! His wife and children are committing elder abuse! #TrumpIsDone,15,2026-03-16 17:15:27,20260316_1530,3,Partisan name-calling ('escapee from an Alzheimer’s residence') and emotion/exaggeration ('dithered and doddered').,1,No support for undemocratic practices is shown.,1,No support for partisan violence is shown.,2,"Calls for Trump to resign his candidacy, indicating opposition to an undemocratic candidate.",2,Emotion/exaggeration ('dithered and doddered').,2,Emotion/exaggeration ('dithered and doddered').,2,Terms that increase distrust ('escapee from an Alzheimer’s residence').,2,Emotion/exaggeration ('dithered and doddered').,A
1058,529,gpt-4o-2024-08-06,quote,Donald Trump did not do a news conference. He dithered and doddered his way through softball questions and he still came off like an escapee from an Alzheimer’s residence! He should resign his candidacy immediately! His wife and children are committing elder abuse! #TrumpIsDone,15,2026-03-16 17:15:33,20260316_1530,3,Partisan name-calling ('escapee from an Alzheimer’s residence') and emotion/exaggeration ('dithered and doddered').,2,Emotion/exaggeration ('dithered and doddered') but no support for undemocratic practices.,2,Emotion/exaggeration ('dithered and doddered') but no support for partisan violence.,1,Does not show support for undemocratic candidates.,2,Emotion/exaggeration ('dithered and doddered').,2,Emotion/exaggeration ('dithered and doddered').,1,Does not express preference for limiting contact with opposing party.,2,Emotion/exaggeration ('dithered and doddered').,B
1059,530,gpt-4o-2024-08-06,reply,"@PaulHook_em Replacing whites and erasing whites . 
Not even remotely trying to preserve our history. 💯 why I’m a CONSERVATIVE! 👊🏼🇺🇸",12,2026-03-16 17:15:40,20260316_1530,2,Emotion or exaggeration present in 'erasing whites' and 'Not even remotely trying to preserve our history'.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,1,No opposition to bipartisanship is evident.,2,Emotion or exaggeration present in 'erasing whites' and 'Not even remotely trying to preserve our history'.,2,Terms that increase distrust or distance in 'Replacing whites and erasing whites'.,2,Emotion or exaggeration present in 'erasing whites' and 'Not even remotely trying to preserve our history'.,A
1060,530,gpt-4o-2024-08-06,reply,"@PaulHook_em Replacing whites and erasing whites . 
Not even remotely trying to preserve our history. 💯 why I’m a CONSERVATIVE! 👊🏼🇺🇸",13,2026-03-16 17:15:45,20260316_1530,2,Emotion or exaggeration with 'erasing whites' and 'not even remotely trying'.,1,No support for undemocratic practices or name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates.,2,Emotion or exaggeration with 'erasing whites'.,2,Emotion or exaggeration with 'erasing whites'.,2,Terms that increase distrust with 'erasing whites'.,2,Emotion or exaggeration with 'erasing whites' and 'not even remotely trying'.,B
1061,531,gpt-4o-2024-08-06,reply,"@PaulRieckhoff @MichaelSteele Um...its been extensively covered &amp; debunked in Minnesota. The fact is MAGA lies outrageously &amp;, no matter what is put out there, they will keep telling the lies. Maybe Media needs to step up &amp; not report the lies or ensure it's debunked &amp; corrected with each report.",14,2026-03-16 17:15:52,20260316_1530,2,The tweet uses 'MAGA lies outrageously' which indicates emotion or exaggeration.,2,"The tweet suggests media should not report lies, which could imply undermining free press, and uses 'MAGA lies outrageously' indicating emotion.",1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,"The tweet suggests media should not report lies, indicating emotion or exaggeration.",2,The tweet uses 'MAGA lies outrageously' which indicates emotion or exaggeration.,2,The tweet uses 'MAGA lies outrageously' which increases distrust.,2,"The tweet discusses 'MAGA lies' with a partisan stance, indicating emotion or exaggeration.",A
1062,531,gpt-4o-2024-08-06,reply,"@PaulRieckhoff @MichaelSteele Um...its been extensively covered &amp; debunked in Minnesota. The fact is MAGA lies outrageously &amp;, no matter what is put out there, they will keep telling the lies. Maybe Media needs to step up &amp; not report the lies or ensure it's debunked &amp; corrected with each report.",15,2026-03-16 17:15:58,20260316_1530,2,The tweet includes emotion or exaggeration with phrases like 'MAGA lies outrageously'.,2,The tweet shows emotion or exaggeration with 'MAGA lies outrageously' but does not endorse undemocratic practices.,1,There is no support for partisan violence or aggression in the tweet.,1,The tweet does not show support for undemocratic candidates.,2,The tweet includes emotion or exaggeration with 'MAGA lies outrageously'.,2,The tweet includes emotion or exaggeration with 'MAGA lies outrageously'.,2,The tweet uses terms that increase distrust with 'MAGA lies outrageously'.,3,The tweet distorts factual claims with 'MAGA lies outrageously' and includes emotion or exaggeration.,B
1063,532,gpt-4o-2024-08-06,reply,@IAPolls2022 @EmersonPolling The MAGA cope is strong.,13,2026-03-16 17:16:03,20260316_1530,2,Partisan name-calling with 'MAGA' and emotional tone with 'cope'.,2,Partisan name-calling with 'MAGA' but no support for undemocratic practices.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,Partisan name-calling with 'MAGA' but no explicit opposition to bipartisanship.,2,Partisan name-calling with 'MAGA' but no general social distrust.,2,Partisan name-calling with 'MAGA' but no events or language increasing social distance.,1,No biased evaluation of politicized facts or related language.,A
1064,532,gpt-4o-2024-08-06,reply,@IAPolls2022 @EmersonPolling The MAGA cope is strong.,10,2026-03-16 17:16:08,20260316_1530,2,The term 'MAGA cope' implies negative affect and emotion towards MAGA supporters.,1,No endorsement of norm-violating conduct is present.,1,No acceptance of political aggression is present.,1,No tolerance of authoritarian candidates is present.,1,No rejection of cross-party cooperation is present.,2,The term 'cope' suggests emotion or exaggeration.,1,No outparty avoidance is present.,1,No partisan distortion of factual claims is present.,B
1065,533,gpt-4o-2024-08-06,tweet,"Protecting our Constitution and our democracy is crucial, and I don't think MAGA understands that they are outnumbered by Americans who would die on that hill. We will not back down and we will not compromise.",15,2026-03-16 17:16:14,20260316_1530,2,Emotion or exaggeration present in 'outnumbered by Americans who would die on that hill'.,2,Emotion or exaggeration present in 'die on that hill'.,2,Emotion or exaggeration present in 'die on that hill'.,1,No support for undemocratic candidates is shown.,3,Opposition to compromise and emotion in 'we will not back down and we will not compromise'.,2,Emotion or exaggeration present in 'die on that hill'.,2,Terms that increase distance in 'we will not back down and we will not compromise'.,1,No biased evaluation of politicized facts is present.,A
1066,533,gpt-4o-2024-08-06,tweet,"Protecting our Constitution and our democracy is crucial, and I don't think MAGA understands that they are outnumbered by Americans who would die on that hill. We will not back down and we will not compromise.",15,2026-03-16 17:16:19,20260316_1530,2,Emotion or exaggeration is present with 'outnumbered by Americans who would die on that hill'.,2,Emotion or exaggeration is present with 'die on that hill' and 'we will not back down'.,2,Emotion or exaggeration is present with 'die on that hill'.,1,No support for undemocratic candidates is shown.,3,Both name-calling ('MAGA') and emotion ('we will not compromise') are present.,2,Emotion or exaggeration is present with 'we will not back down'.,2,Terms that increase distrust ('MAGA') are present.,1,No partisan distortion of factual claims is present.,B
1067,534,gpt-4o-2024-08-06,reply,"@akafacehots lol now you’re using AI generated pictures. 

Poor MAGA.",10,2026-03-16 17:18:10,20260316_1530,2,The term 'Poor MAGA' suggests partisan name-calling.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,1,There is no opposition to bipartisanship or related factors.,1,There is no social distrust or related factors.,2,The term 'Poor MAGA' suggests increasing social distance through name-calling.,1,There is no biased evaluation of politicized facts or related factors.,A
1068,534,gpt-4o-2024-08-06,reply,"@akafacehots lol now you’re using AI generated pictures. 

Poor MAGA.",9,2026-03-16 17:18:15,20260316_1530,2,"The phrase 'Poor MAGA' suggests negative affect directed toward members of the opposing political party, indicating emotion or exaggeration.",1,There is no support for undemocratic practices or norm-violating conduct in the tweet.,1,There is no approval of forceful or threatening tactics in the tweet.,1,There is no support for undemocratic candidates in the tweet.,1,There is no indication of rejection of cross-party cooperation in the tweet.,1,There is no generalized interpersonal suspicion expressed in the tweet.,1,There is no preference for limiting personal or social contact with the opposing party in the tweet.,1,There is no partisan distortion of factual claims in the tweet.,B
